id;student_id;grade_id;grade_date
1;1;8;12.12.2023
2;1;4;07.12.2023
3;2;5;01.06.2024
4;2;3;30.03.2024
5;2;3;12.09.2023
6;3;3;29.01.2024
7;3;8;18.09.2023
8;4;5;12.01.2024
9;4;8;24.05.2024
10;4;3;27.04.2024
11;5;4;10.12.2023
12;5;5;26.04.2024
13;5;8;03.11.2023
14;5;3;24.04.2024
15;6;6;08.04.2024
16;6;2;08.09.2023
17;7;5;29.12.2023
18;7;4;12.06.2024
19;7;5;11.06.2024
20;8;5;04.05.2024
21;8;4;29.02.2024
22;8;3;26.05.2024
23;8;5;18.05.2024
24;9;7;17.06.2024
25;9;4;09.01.2024
26;9;3;20.09.2023
27;9;5;02.04.2024
28;10;3;27.12.2023
29;10;5;11.05.2024
30;10;5;09.09.2023
31;10;9;23.10.2023
32;11;5;19.12.2023
33;11;5;02.01.2024
34;11;5;28.12.2023
35;12;1;26.02.2024
36;12;5;23.05.2024
37;13;2;31.12.2023
38;13;2;10.03.2024
39;13;2;22.02.2024
40;13;5;15.02.2024
41;14;2;07.12.2023
42;14;8;06.06.2024
43;14;2;04.01.2024
44;14;5;23.11.2023
45;15;7;29.09.2023
46;15;6;29.10.2023
47;15;6;29.04.2024
48;16;9;23.02.2024
49;16;5;28.04.2024
50;17;4;23.06.2024
51;17;6;29.10.2023
52;17;6;19.01.2024
53;17;5;15.06.2024
54;18;2;15.01.2024
55;18;5;02.12.2023
56;18;5;29.03.2024
57;18;3;26.03.2024
58;19;5;04.02.2024
59;19;6;06.02.2024
60;19;8;01.02.2024
61;20;3;21.05.2024
62;20;4;27.09.2023
63;21;6;02.01.2024
64;21;1;28.05.2024
65;21;6;07.04.2024
66;21;8;08.11.2023
67;22;7;02.10.2023
68;22;5;06.10.2023
69;22;4;04.12.2023
70;23;8;01.01.2024
71;23;9;10.03.2024
72;23;8;15.05.2024
73;24;5;16.01.2024
74;24;6;12.12.2023
75;24;2;12.12.2023
76;25;9;02.06.2024
77;25;6;10.12.2023
78;25;8;21.09.2023
79;25;1;09.04.2024
80;26;2;13.10.2023
81;26;4;26.11.2023
82;26;3;04.02.2024
83;26;1;20.05.2024
84;27;9;20.01.2024
85;27;3;30.11.2023
86;27;2;31.01.2024
87;27;7;27.03.2024
88;28;3;06.12.2023
89;28;5;18.12.2023
90;29;7;31.01.2024
91;29;5;03.05.2024
92;29;5;25.11.2023
93;29;4;13.06.2024
94;30;8;29.04.2024
95;30;2;16.01.2024
