id;student_id;grade_id;grade_date
1;1;2;10.01.2024
2;1;7;12.12.2023
3;2;5;23.11.2023
4;2;1;08.12.2023
5;3;5;29.04.2024
6;3;4;12.12.2023
7;3;5;26.02.2024
8;3;8;27.12.2023
9;4;8;08.05.2024
10;4;8;02.04.2024
11;4;7;18.01.2024
12;5;4;11.12.2023
13;5;3;13.05.2024
14;6;4;06.09.2023
15;6;5;29.09.2023
16;7;3;19.10.2023
17;7;5;14.04.2024
18;7;7;05.05.2024
19;8;4;12.12.2023
20;8;6;13.06.2024
21;8;3;06.01.2024
22;8;5;13.12.2023
23;9;2;23.12.2023
24;9;5;10.02.2024
25;9;4;13.11.2023
26;10;5;03.01.2024
27;10;5;22.12.2023
28;10;4;07.06.2024
29;11;2;31.03.2024
30;11;7;04.09.2023
31;11;5;17.11.2023
32;11;3;10.09.2023
33;12;5;10.02.2024
34;12;5;22.09.2023
35;12;3;05.02.2024
36;12;3;14.06.2024
37;13;3;05.09.2023
38;13;4;06.10.2023
39;14;4;27.04.2024
40;14;7;14.01.2024
41;14;5;04.01.2024
42;14;6;23.03.2024
43;15;8;15.09.2023
44;15;5;13.03.2024
45;16;7;30.09.2023
46;16;2;06.01.2024
47;16;3;22.02.2024
48;16;3;27.01.2024
49;17;3;24.02.2024
50;17;1;19.03.2024
51;17;5;20.11.2023
52;17;9;24.11.2023
53;18;3;16.10.2023
54;18;6;13.12.2023
55;19;4;16.12.2023
56;19;5;21.06.2024
57;20;7;18.02.2024
58;20;4;21.03.2024
59;20;4;16.03.2024
60;21;3;28.12.2023
61;21;7;18.04.2024
62;21;5;28.10.2023
63;22;6;12.04.2024
64;22;6;19.11.2023
65;22;7;06.05.2024
66;23;2;26.10.2023
67;23;8;03.03.2024
68;23;9;26.01.2024
69;24;5;16.05.2024
70;24;4;25.11.2023
71;25;3;14.04.2024
72;25;8;23.03.2024
73;26;7;28.09.2023
74;26;4;01.10.2023
75;26;2;12.11.2023
76;27;7;28.05.2024
77;27;4;29.01.2024
78;28;9;03.03.2024
79;28;6;06.02.2024
80;28;4;26.11.2023
81;28;9;05.10.2023
82;29;5;22.09.2023
83;29;5;22.10.2023
84;30;6;20.04.2024
85;30;6;01.11.2023
86;30;5;08.09.2023
87;30;4;30.04.2024
