id;student_id;grade_id;grade_date
1;1;1;13.03.2024
2;1;8;21.03.2024
3;1;5;19.03.2024
4;1;1;27.01.2024
5;2;7;29.01.2024
6;2;6;03.02.2024
7;2;6;22.05.2024
8;3;3;15.02.2024
9;3;4;17.02.2024
10;4;8;18.09.2023
11;4;6;20.04.2024
12;5;8;25.06.2024
13;5;3;11.09.2023
14;5;8;21.11.2023
15;6;6;25.09.2023
16;6;5;07.06.2024
17;7;9;29.03.2024
18;7;2;23.12.2023
19;7;1;16.03.2024
20;8;9;01.05.2024
21;8;1;12.09.2023
22;8;4;18.01.2024
23;9;4;28.01.2024
24;9;7;10.06.2024
25;10;6;06.09.2023
26;10;6;19.06.2024
27;11;5;18.12.2023
28;11;3;03.11.2023
29;12;8;21.10.2023
30;12;3;27.05.2024
31;12;2;19.01.2024
32;13;8;25.01.2024
33;13;8;24.06.2024
34;13;9;18.09.2023
35;14;4;16.09.2023
36;14;4;08.05.2024
37;14;1;01.11.2023
38;15;5;31.05.2024
39;15;6;31.10.2023
40;15;6;08.06.2024
41;16;3;15.05.2024
42;16;5;13.11.2023
43;16;5;28.11.2023
44;17;5;13.11.2023
45;17;1;22.01.2024
46;17;2;07.09.2023
47;17;4;01.12.2023
48;18;5;22.05.2024
49;18;3;08.05.2024
50;18;4;23.03.2024
51;18;7;08.06.2024
52;19;8;12.04.2024
53;19;7;24.10.2023
54;19;4;17.04.2024
55;19;5;12.03.2024
56;20;7;10.01.2024
57;20;6;10.02.2024
58;21;7;23.02.2024
59;21;7;01.12.2023
60;21;2;01.02.2024
61;22;6;07.12.2023
62;22;1;07.09.2023
63;23;5;09.05.2024
64;23;2;04.12.2023
65;24;4;11.09.2023
66;24;5;25.09.2023
67;25;9;14.03.2024
68;25;5;21.02.2024
69;26;1;22.12.2023
70;26;3;12.06.2024
71;26;7;21.03.2024
72;27;9;22.02.2024
73;27;8;26.09.2023
74;28;7;25.11.2023
75;28;9;13.01.2024
76;29;5;06.03.2024
77;29;7;18.10.2023
78;29;8;28.05.2024
79;29;8;13.05.2024
80;30;6;05.09.2023
81;30;4;03.04.2024
82;30;7;05.10.2023
83;30;1;29.03.2024
