id;student_id;grade_id;grade_date
1;1;1;30.11.2023
2;1;5;08.10.2023
3;2;5;18.03.2024
4;2;5;20.11.2023
5;3;1;29.05.2024
6;3;7;25.04.2024
7;4;6;18.09.2023
8;4;5;26.03.2024
9;4;4;27.03.2024
10;5;7;02.06.2024
11;5;7;16.04.2024
12;5;6;05.05.2024
13;5;3;26.11.2023
14;6;7;19.11.2023
15;6;4;17.05.2024
16;6;3;28.03.2024
17;6;6;18.09.2023
18;7;6;09.12.2023
19;7;5;15.10.2023
20;7;5;14.11.2023
21;8;7;10.06.2024
22;8;7;08.06.2024
23;9;2;28.04.2024
24;9;7;09.04.2024
25;9;4;09.02.2024
26;10;4;05.09.2023
27;10;3;08.04.2024
28;10;6;23.11.2023
29;10;6;25.05.2024
30;11;9;18.05.2024
31;11;5;31.03.2024
32;11;6;03.06.2024
33;12;5;19.02.2024
34;12;2;05.04.2024
35;12;4;21.05.2024
36;12;5;21.11.2023
37;13;5;15.12.2023
38;13;7;25.02.2024
39;13;7;07.09.2023
40;13;5;16.10.2023
41;14;7;07.02.2024
42;14;4;25.03.2024
43;15;6;06.10.2023
44;15;1;08.04.2024
45;15;8;17.05.2024
46;16;5;12.02.2024
47;16;5;21.04.2024
48;16;4;09.09.2023
49;16;3;19.04.2024
50;17;7;01.06.2024
51;17;9;05.06.2024
52;17;5;16.09.2023
53;18;1;26.02.2024
54;18;1;18.06.2024
55;19;1;29.06.2024
56;19;1;16.05.2024
57;19;9;22.02.2024
58;19;5;10.04.2024
59;20;7;08.03.2024
60;20;5;07.01.2024
61;20;4;02.12.2023
62;21;6;29.10.2023
63;21;2;25.03.2024
64;21;6;08.11.2023
65;21;5;31.03.2024
66;22;1;26.03.2024
67;22;4;14.05.2024
68;22;4;17.01.2024
69;23;5;14.09.2023
70;23;7;26.10.2023
71;23;4;27.03.2024
72;23;5;15.02.2024
73;24;2;11.01.2024
74;24;3;15.03.2024
75;24;6;31.12.2023
76;25;3;02.06.2024
77;25;3;20.10.2023
78;25;6;06.11.2023
79;25;2;14.05.2024
80;26;3;05.12.2023
81;26;5;21.02.2024
82;26;5;09.01.2024
83;27;5;08.10.2023
84;27;9;13.09.2023
85;27;6;05.06.2024
86;28;1;02.12.2023
87;28;5;14.12.2023
88;28;5;20.11.2023
89;29;1;29.09.2023
90;29;2;30.01.2024
91;29;9;11.09.2023
92;30;5;17.03.2024
93;30;5;10.09.2023
94;30;7;16.10.2023
