id;student_id;grade_id;grade_date
1;1;7;11.06.2024
2;1;4;24.04.2024
3;1;4;14.04.2024
4;2;4;18.11.2023
5;2;2;15.11.2023
6;2;3;28.03.2024
7;3;6;18.10.2023
8;3;3;04.04.2024
9;3;4;01.05.2024
10;4;1;18.02.2024
11;4;9;14.01.2024
12;5;4;04.12.2023
13;5;4;27.05.2024
14;5;6;12.11.2023
15;5;4;04.12.2023
16;6;9;27.09.2023
17;6;6;27.09.2023
18;6;2;04.02.2024
19;7;7;08.04.2024
20;7;4;11.03.2024
21;7;3;04.05.2024
22;7;7;06.11.2023
23;8;8;29.10.2023
24;8;5;22.09.2023
25;8;5;22.10.2023
26;8;3;19.02.2024
27;9;5;12.02.2024
28;9;4;09.09.2023
29;10;9;19.04.2024
30;10;5;25.05.2024
31;11;5;05.05.2024
32;11;5;15.02.2024
33;12;3;25.12.2023
34;12;5;06.11.2023
35;12;8;18.04.2024
36;13;4;09.02.2024
37;13;6;09.09.2023
38;13;3;27.03.2024
39;14;8;14.11.2023
40;14;2;05.12.2023
41;14;1;29.09.2023
42;14;4;24.09.2023
43;15;6;27.11.2023
44;15;1;01.12.2023
45;16;9;10.02.2024
46;16;8;10.04.2024
47;16;5;01.02.2024
48;17;5;21.04.2024
49;17;6;05.05.2024
50;17;6;12.10.2023
51;18;2;26.06.2024
52;18;5;22.06.2024
53;18;5;16.05.2024
54;18;3;25.11.2023
55;19;7;08.04.2024
56;19;3;05.01.2024
57;20;5;14.03.2024
58;20;4;01.12.2023
59;20;7;30.03.2024
60;21;4;08.09.2023
61;21;8;26.05.2024
62;22;8;06.03.2024
63;22;5;13.09.2023
64;23;6;09.09.2023
65;23;4;07.06.2024
66;24;5;23.02.2024
67;24;5;25.05.2024
68;25;7;19.10.2023
69;25;5;20.09.2023
70;25;4;15.04.2024
71;26;7;12.02.2024
72;26;5;18.09.2023
73;27;3;20.01.2024
74;27;6;07.04.2024
75;28;5;01.03.2024
76;28;3;09.01.2024
77;28;4;05.10.2023
78;28;6;20.10.2023
79;29;7;08.09.2023
80;29;5;17.09.2023
81;29;4;27.11.2023
82;30;6;13.04.2024
83;30;1;27.10.2023
84;30;5;08.02.2024
85;30;4;27.01.2024
