id;student_id;grade_id;grade_date
1;1;7;07.01.2024
2;1;5;23.11.2023
3;2;5;14.10.2023
4;2;6;02.04.2024
5;2;1;29.04.2024
6;2;2;16.02.2024
7;3;7;15.10.2023
8;3;9;27.02.2024
9;3;4;15.10.2023
10;4;5;07.10.2023
11;4;6;24.09.2023
12;5;6;27.02.2024
13;5;3;18.09.2023
14;5;1;03.02.2024
15;5;7;27.05.2024
16;6;4;31.12.2023
17;6;3;11.06.2024
18;6;6;18.06.2024
19;7;4;03.04.2024
20;7;4;15.12.2023
21;8;7;28.01.2024
22;8;6;15.03.2024
23;9;4;19.09.2023
24;9;4;03.12.2023
25;9;5;25.12.2023
26;10;2;05.01.2024
27;10;7;16.11.2023
28;10;5;12.12.2023
29;11;1;30.10.2023
30;11;3;06.01.2024
31;11;4;15.11.2023
32;11;6;06.06.2024
33;12;4;26.04.2024
34;12;1;22.04.2024
35;12;3;29.04.2024
36;12;6;12.10.2023
37;13;1;08.06.2024
38;13;3;18.12.2023
39;13;4;17.06.2024
40;14;4;19.01.2024
41;14;4;20.12.2023
42;15;3;30.09.2023
43;15;7;09.10.2023
44;15;2;22.05.2024
45;15;4;13.01.2024
46;16;5;16.01.2024
47;16;7;13.10.2023
48;17;5;22.02.2024
49;17;4;05.05.2024
50;18;7;08.12.2023
51;18;9;30.01.2024
52;19;7;03.04.2024
53;19;7;14.04.2024
54;19;7;26.03.2024
55;20;5;18.09.2023
56;20;6;27.01.2024
57;20;7;30.11.2023
58;21;7;04.12.2023
59;21;6;03.02.2024
60;22;4;16.03.2024
61;22;5;23.01.2024
62;22;7;19.01.2024
63;23;6;04.11.2023
64;23;6;23.01.2024
65;24;7;23.03.2024
66;24;5;13.10.2023
67;25;6;05.04.2024
68;25;7;10.10.2023
69;25;3;30.10.2023
70;25;5;27.05.2024
71;26;7;07.11.2023
72;26;5;16.01.2024
73;27;5;11.11.2023
74;27;2;01.09.2023
75;28;4;19.09.2023
76;28;5;26.12.2023
77;29;5;26.03.2024
78;29;8;14.10.2023
79;29;7;10.02.2024
80;30;3;21.01.2024
81;30;2;23.03.2024
82;30;1;06.10.2023
