id;student_id;grade_id;grade_date
1;1;7;15.03.2024
2;1;9;25.06.2024
3;1;7;18.12.2023
4;1;8;21.11.2023
5;2;4;10.04.2024
6;2;2;02.03.2024
7;2;7;21.12.2023
8;3;8;10.12.2023
9;3;3;29.11.2023
10;3;8;26.10.2023
11;3;4;04.05.2024
12;4;7;17.02.2024
13;4;7;25.01.2024
14;5;8;15.12.2023
15;5;7;28.05.2024
16;6;3;07.09.2023
17;6;3;01.04.2024
18;6;4;16.05.2024
19;6;5;09.06.2024
20;7;7;04.09.2023
21;7;4;06.03.2024
22;8;2;26.12.2023
23;8;6;25.01.2024
24;9;6;04.03.2024
25;9;5;16.04.2024
26;9;6;08.06.2024
27;10;4;15.06.2024
28;10;6;12.09.2023
29;11;7;14.04.2024
30;11;2;04.03.2024
31;11;2;24.10.2023
32;12;4;01.10.2023
33;12;7;06.06.2024
34;13;6;27.01.2024
35;13;7;15.11.2023
36;13;6;26.03.2024
37;13;7;02.12.2023
38;14;9;30.11.2023
39;14;6;20.04.2024
40;15;9;07.06.2024
41;15;3;17.10.2023
42;16;3;15.04.2024
43;16;5;09.10.2023
44;16;6;14.12.2023
45;17;9;31.01.2024
46;17;4;05.05.2024
47;18;6;25.04.2024
48;18;9;29.05.2024
49;18;2;18.03.2024
50;18;3;14.03.2024
51;19;6;24.11.2023
52;19;6;23.05.2024
53;19;7;24.06.2024
54;20;7;02.11.2023
55;20;8;29.03.2024
56;21;2;19.04.2024
57;21;3;06.04.2024
58;21;8;28.11.2023
59;22;2;23.01.2024
60;22;8;13.06.2024
61;23;9;06.04.2024
62;23;7;19.10.2023
63;23;5;03.11.2023
64;24;3;25.02.2024
65;24;8;05.12.2023
66;25;7;19.02.2024
67;25;5;14.01.2024
68;25;7;29.11.2023
69;26;9;25.01.2024
70;26;5;04.04.2024
71;27;6;03.03.2024
72;27;6;17.09.2023
73;27;6;27.12.2023
74;28;4;24.10.2023
75;28;3;12.10.2023
76;29;5;20.09.2023
77;29;6;22.02.2024
78;29;2;22.03.2024
79;29;9;06.12.2023
80;30;3;29.12.2023
81;30;5;01.12.2023
82;30;1;20.12.2023
83;30;8;24.04.2024
