id;student_id;grade_id;grade_date
1;1;8;21.04.2024
2;1;3;02.09.2023
3;1;8;03.01.2024
4;1;5;13.02.2024
5;2;7;25.06.2024
6;2;3;16.02.2024
7;2;4;25.12.2023
8;3;5;28.03.2024
9;3;3;30.11.2023
10;3;6;10.02.2024
11;4;7;31.10.2023
12;4;7;02.02.2024
13;4;3;25.02.2024
14;4;9;27.09.2023
15;5;3;02.02.2024
16;5;7;25.09.2023
17;5;5;06.03.2024
18;5;4;18.04.2024
19;6;5;23.01.2024
20;6;7;26.02.2024
21;7;3;23.10.2023
22;7;5;15.11.2023
23;7;4;24.01.2024
24;8;2;18.05.2024
25;8;5;02.03.2024
26;8;6;17.12.2023
27;8;6;18.12.2023
28;9;6;21.12.2023
29;9;5;04.04.2024
30;9;7;10.10.2023
31;9;3;09.03.2024
32;10;5;22.12.2023
33;10;6;09.06.2024
34;11;5;22.11.2023
35;11;4;30.04.2024
36;12;6;15.10.2023
37;12;3;21.11.2023
38;12;7;14.06.2024
39;12;3;03.06.2024
40;13;6;12.10.2023
41;13;3;17.09.2023
42;14;5;17.10.2023
43;14;5;17.09.2023
44;14;1;14.05.2024
45;15;3;16.03.2024
46;15;6;30.10.2023
47;15;5;13.11.2023
48;16;6;03.06.2024
49;16;5;13.03.2024
50;16;4;24.06.2024
51;17;5;06.03.2024
52;17;5;02.09.2023
53;17;4;29.10.2023
54;17;5;02.05.2024
55;18;3;31.03.2024
56;18;5;22.06.2024
57;18;6;29.10.2023
58;19;7;30.01.2024
59;19;3;27.12.2023
60;19;7;17.09.2023
61;19;5;17.11.2023
62;20;6;05.10.2023
63;20;7;16.06.2024
64;20;1;25.11.2023
65;21;9;12.05.2024
66;21;5;29.01.2024
67;22;7;08.10.2023
68;22;3;20.05.2024
69;22;1;05.10.2023
70;22;5;13.02.2024
71;23;1;04.01.2024
72;23;3;25.11.2023
73;24;4;01.05.2024
74;24;9;08.04.2024
75;24;7;26.11.2023
76;25;1;10.02.2024
77;25;3;25.05.2024
78;25;5;21.03.2024
79;25;6;16.12.2023
80;26;5;14.06.2024
81;26;1;25.04.2024
82;26;9;21.09.2023
83;26;2;18.11.2023
84;27;4;12.11.2023
85;27;3;12.03.2024
86;27;5;30.01.2024
87;27;1;09.04.2024
88;28;3;11.12.2023
89;28;7;24.11.2023
90;28;5;17.03.2024
91;28;4;07.09.2023
92;29;4;22.11.2023
93;29;3;03.02.2024
94;29;5;08.02.2024
95;30;8;29.05.2024
96;30;3;21.04.2024
97;30;6;11.09.2023
98;30;9;01.10.2023
