id;student_id;grade_id;grade_date
1;1;4;11.06.2024
2;1;4;21.01.2024
3;1;1;03.09.2023
4;2;4;08.04.2024
5;2;4;30.09.2023
6;3;5;20.02.2024
7;3;6;12.06.2024
8;4;1;19.06.2024
9;4;3;02.05.2024
10;4;4;17.02.2024
11;5;9;12.10.2023
12;5;5;03.10.2023
13;5;2;22.12.2023
14;5;2;23.09.2023
15;6;9;13.06.2024
16;6;5;07.11.2023
17;7;5;26.12.2023
18;7;4;11.05.2024
19;7;6;03.09.2023
20;7;4;25.01.2024
21;8;5;14.02.2024
22;8;7;01.03.2024
23;8;9;04.01.2024
24;9;7;18.09.2023
25;9;2;08.06.2024
26;9;6;06.05.2024
27;9;7;16.12.2023
28;10;5;26.12.2023
29;10;7;28.11.2023
30;10;5;18.03.2024
31;10;5;28.09.2023
32;11;6;14.12.2023
33;11;7;30.12.2023
34;11;8;02.06.2024
35;11;4;28.11.2023
36;12;5;07.02.2024
37;12;7;28.06.2024
38;12;2;14.11.2023
39;12;7;16.04.2024
40;13;4;02.09.2023
41;13;8;11.03.2024
42;14;4;04.11.2023
43;14;7;31.03.2024
44;14;9;30.10.2023
45;15;5;13.02.2024
46;15;6;16.01.2024
47;16;9;07.04.2024
48;16;8;04.02.2024
49;16;6;02.04.2024
50;16;5;13.12.2023
51;17;7;04.09.2023
52;17;3;18.09.2023
53;18;1;09.09.2023
54;18;7;08.12.2023
55;18;6;11.10.2023
56;18;8;25.12.2023
57;19;3;02.01.2024
58;19;3;31.03.2024
59;20;7;09.02.2024
60;20;9;10.01.2024
61;21;4;03.03.2024
62;21;1;29.11.2023
63;22;1;20.10.2023
64;22;4;20.02.2024
65;22;3;28.06.2024
66;22;1;05.02.2024
67;23;3;25.10.2023
68;23;7;13.10.2023
69;24;7;25.04.2024
70;24;6;02.05.2024
71;24;4;05.09.2023
72;24;8;24.05.2024
73;25;1;21.11.2023
74;25;1;20.04.2024
75;26;5;07.12.2023
76;26;3;14.11.2023
77;27;4;07.02.2024
78;27;1;13.01.2024
79;27;2;15.05.2024
80;28;4;30.04.2024
81;28;1;05.01.2024
82;28;4;14.10.2023
83;28;5;26.06.2024
84;29;1;13.05.2024
85;29;5;01.12.2023
86;30;2;21.02.2024
87;30;4;16.06.2024
88;30;6;17.01.2024
