id;student_id;grade_id;grade_date
1;1;4;05.02.2024
2;1;2;11.02.2024
3;1;6;22.10.2023
4;2;3;06.05.2024
5;2;2;22.04.2024
6;3;7;31.10.2023
7;3;5;28.04.2024
8;3;8;21.06.2024
9;4;4;03.10.2023
10;4;9;20.12.2023
11;4;3;16.05.2024
12;4;5;01.03.2024
13;5;5;10.12.2023
14;5;3;28.10.2023
15;5;1;05.04.2024
16;5;1;23.11.2023
17;6;6;23.09.2023
18;6;8;24.01.2024
19;7;5;27.12.2023
20;7;1;31.12.2023
21;7;5;19.03.2024
22;8;3;04.03.2024
23;8;6;01.12.2023
24;9;4;31.12.2023
25;9;5;08.12.2023
26;9;9;22.01.2024
27;9;6;15.09.2023
28;10;2;06.10.2023
29;10;8;25.10.2023
30;10;8;08.10.2023
31;10;9;25.10.2023
32;11;7;11.03.2024
33;11;7;16.09.2023
34;11;5;02.04.2024
35;11;2;18.05.2024
36;12;5;08.06.2024
37;12;6;04.09.2023
38;12;8;14.11.2023
39;13;6;14.09.2023
40;13;3;26.05.2024
41;14;6;18.10.2023
42;14;1;29.10.2023
43;14;5;02.05.2024
44;14;6;07.10.2023
45;15;5;05.06.2024
46;15;4;25.11.2023
47;16;8;19.02.2024
48;16;3;17.01.2024
49;16;5;21.01.2024
50;17;6;15.10.2023
51;17;7;08.11.2023
52;18;3;06.11.2023
53;18;8;18.02.2024
54;18;9;28.09.2023
55;18;4;28.12.2023
56;19;1;11.10.2023
57;19;3;10.10.2023
58;20;3;08.02.2024
59;20;9;21.04.2024
60;20;7;12.01.2024
61;20;5;28.09.2023
62;21;8;31.05.2024
63;21;9;16.12.2023
64;21;4;07.06.2024
65;21;4;07.04.2024
66;22;7;21.12.2023
67;22;1;03.05.2024
68;23;5;03.12.2023
69;23;7;08.02.2024
70;23;5;04.06.2024
71;24;5;03.02.2024
72;24;7;16.01.2024
73;24;4;11.06.2024
74;25;5;24.10.2023
75;25;5;23.09.2023
76;26;7;09.09.2023
77;26;9;25.04.2024
78;26;5;13.11.2023
79;26;5;18.03.2024
80;27;5;06.10.2023
81;27;6;24.12.2023
82;27;3;16.06.2024
83;28;3;25.12.2023
84;28;8;14.02.2024
85;28;6;19.05.2024
86;29;9;09.03.2024
87;29;9;10.04.2024
88;30;4;15.02.2024
89;30;6;11.04.2024
90;30;5;29.06.2024
