id;student_id;grade_id;grade_date
1;1;2;25.10.2023
2;1;5;10.06.2024
3;1;2;26.06.2024
4;1;3;13.09.2023
5;2;8;04.04.2024
6;2;5;24.02.2024
7;3;7;08.12.2023
8;3;4;01.05.2024
9;4;6;19.12.2023
10;4;9;13.01.2024
11;4;3;14.06.2024
12;5;7;19.11.2023
13;5;5;24.12.2023
14;5;3;16.02.2024
15;5;6;28.09.2023
16;6;7;28.05.2024
17;6;5;20.11.2023
18;7;6;19.12.2023
19;7;5;28.11.2023
20;7;2;15.12.2023
21;8;4;01.05.2024
22;8;6;29.10.2023
23;8;7;30.11.2023
24;8;5;09.05.2024
25;9;9;19.05.2024
26;9;1;19.09.2023
27;9;5;16.09.2023
28;10;1;13.12.2023
29;10;3;17.10.2023
30;11;3;17.03.2024
31;11;7;16.10.2023
32;11;6;23.10.2023
33;12;3;25.02.2024
34;12;1;26.06.2024
35;13;7;07.03.2024
36;13;5;26.09.2023
37;13;2;02.12.2023
38;14;4;20.03.2024
39;14;9;18.05.2024
40;15;4;29.01.2024
41;15;7;02.12.2023
42;15;7;12.02.2024
43;16;1;31.12.2023
44;16;3;27.10.2023
45;16;1;13.10.2023
46;17;7;07.02.2024
47;17;5;25.12.2023
48;18;6;14.02.2024
49;18;3;18.03.2024
50;18;3;20.11.2023
51;18;8;03.02.2024
52;19;6;07.11.2023
53;19;5;24.12.2023
54;19;4;24.10.2023
55;19;6;05.04.2024
56;20;7;16.01.2024
57;20;5;25.11.2023
58;20;9;17.09.2023
59;21;3;03.01.2024
60;21;9;04.01.2024
61;21;1;16.03.2024
62;21;3;05.12.2023
63;22;9;01.11.2023
64;22;8;09.11.2023
65;22;6;28.06.2024
66;22;2;04.12.2023
67;23;5;26.04.2024
68;23;5;03.11.2023
69;23;8;11.12.2023
70;23;5;28.10.2023
71;24;9;10.09.2023
72;24;6;04.03.2024
73;25;7;17.02.2024
74;25;5;08.01.2024
75;26;4;30.09.2023
76;26;2;21.05.2024
77;26;7;04.03.2024
78;26;3;20.10.2023
79;27;6;02.06.2024
80;27;5;30.03.2024
81;27;6;07.06.2024
82;28;1;25.09.2023
83;28;6;29.02.2024
84;28;7;01.05.2024
85;29;6;25.06.2024
86;29;4;22.05.2024
87;29;2;09.04.2024
88;30;1;08.10.2023
89;30;5;03.11.2023
